trade_id,trade_date,instrument_id,counterparty_id,side,quantity,price,notional,currency_code,trader_id
TRD-1001,2026-06-15,INST-001,CP-001,BUY,1000,195.40,195400.00,USD,TRADER-AB
TRD-1002,2026-06-15,INST-004,CP-002,SELL,500,98.75,49375.00,USD,TRADER-CD
TRD-1003,2026-06-16,INST-003,CP-003,BUY,2000,12.30,24600.00,EUR,TRADER-AB
TRD-1004,2026-06-16,INST-006,CP-004,BUY,300,2450.00,735000.00,JPY,TRADER-EF
TRD-1005,2026-06-16,INST-002,CP-005,SELL,800,420.10,336080.00,USD,TRADER-CD
TRD-1006,2026-06-17,INST-005,CP-002,BUY,1500,101.20,151800.00,GBP,TRADER-GH
TRD-1003,2026-06-16,INST-003,CP-003,BUY,2000,12.30,24600.00,EUR,TRADER-AB
TRD-1007,2026-06-17,INST-001,CP-001,SELL,400,196.80,78720.00,USD,TRADER-AB
,2026-06-17,INST-002,CP-005,BUY,100,419.00,41900.00,USD,TRADER-EF
TRD-1008,2026-06-18,INST-004,CP-001,BUY,250,99.10,24775.00,USD,TRADER-GH
